"id","down_time_train","interval_giving","idle_train","travel_time","crew_down_time","crew_down_time_plan","intermediate_down_time","route_id","sender_id","receiver_id","real_wagon_loading","real_train_weight_gross","real_train_wight_net","cargo_type_id","empty_types_id","down_time","axis_count"
12129,"2.083333","0.0","2.733333","3.1",NULL,NULL,"0.266667",7502,505,131,70,"1661.0","0.0",1141,0,"2.733333",280
12130,"6.533333","0.0","6.416667","3.633333",NULL,NULL,"0.283333",7503,82,131,69,"1642.0","0.0",1141,0,"6.416667",276
12131,"0.483333","0.0","0.333333","32.766667","4.916664","1.999992",NULL,7474,1465,82,53,"4964.2","3701.5",102,1,"0.333333",212
12132,"0.833333","0.0","1.583333","2.833333",NULL,NULL,NULL,7492,131,505,70,"6553.8","4892.5",5229,1,"1.583333",280
12133,"0.5","0.0","1.666667","2.833333",NULL,NULL,NULL,7492,131,505,70,"6556.9","4896.0",5229,1,"1.666667",280
12134,"2.0","0.0","1.866667","2.716667",NULL,NULL,NULL,7502,505,131,70,"1667.0","0.0",1141,0,"1.866667",280
12135,"0.533333","0.0","0.916667","36.633333","8.033304",NULL,"3.1",7500,485,82,53,"4960.2","3706.0",102,1,"0.916667",212
12136,"4.65","0.0","2.666667","3.183333",NULL,NULL,NULL,7502,505,131,70,"1663.0","0.0",1141,0,"2.666667",280
12137,"0.833333","0.0","5.366667","67.55","33.3","3.916656","5.383333",8580,109,1506,48,"4498.0","3352.0",109,1,"5.366667",192
12138,"0.5","0.0","2.233333","3.033333",NULL,NULL,NULL,7492,131,505,70,"6552.4","4889.5",5229,1,"2.233333",280
12139,"2.0","0.0","8.5","3.25",NULL,NULL,NULL,7503,132,131,66,"1567.0","0.0",1141,0,"8.5",264
12140,"0.483333","0.0","1.433333","35.5","7.566672","0.283344","1.583333",7500,485,82,53,"4969.7","3706.0",102,1,"1.433333",212
12141,"0.5","0.0","2.75","3.333333",NULL,NULL,NULL,7492,131,505,70,"6556.2","4894.0",5229,1,"2.75",280
12142,"2.416667","0.0","2.65","2.75",NULL,NULL,NULL,7502,505,131,70,"1662.0","0.0",1141,0,"2.65",280
12143,"1.183333","1.0","4.616667","3.366667",NULL,NULL,NULL,7497,241,82,67,"6267.5","4676.0",5611,1,"4.616667",268
12144,"0.55","0.0","2.083333","3.2",NULL,NULL,NULL,7496,131,132,67,"6276.0","4686.0",5229,1,"2.083333",268
12145,"2.0","0.0","4.333333","3.583333",NULL,NULL,NULL,7503,132,131,67,"1586.0","0.0",1141,0,"4.333333",268
12146,"1.983333","0.0","1.416667","4.85",NULL,NULL,NULL,7502,505,131,70,"1662.0","0.0",1141,0,"1.416667",280
12147,"0.583333","0.0","1.666667","50.516667","24.266664",NULL,NULL,7501,82,485,71,"1688.0","0.0",1141,0,"1.666667",284
12148,"0.5","0.0","1.416667","3.25",NULL,NULL,NULL,7492,131,505,70,"6553.9","4893.5",5229,1,"1.416667",280
12149,"1.05","0.0","1.916667","2.866667",NULL,NULL,"0.083333",7492,131,505,70,"6556.7","4891.0",5229,1,"1.916667",280
12150,"0.483333","0.0","0.833333","35.766667","9.499992",NULL,"2.466667",7500,485,82,53,"4962.6","3703.5",102,1,"0.833333",212
12151,"2.0","0.0","3.216667","2.616667",NULL,NULL,NULL,7502,505,131,70,"1661.0","0.0",1141,0,"3.216667",280
12152,"4.516667","0.0","9.1","2.883333",NULL,NULL,NULL,7503,82,131,70,"1667.0","0.0",1141,0,"9.1",280
12153,"2.0","0.0","2.633333","2.783333",NULL,NULL,NULL,7502,505,131,70,"1663.0","0.0",1141,0,"2.633333",280
12154,"0.666667","0.0","4.35","36.066667","5.133336","4.016664","9.05",8580,109,1506,48,"4496.0","3356.0",122,1,"4.35",192
12155,"0.666667","0.0","2.783333","35.216667","8.166672","1.083336","4.15",8580,109,1506,48,"4496.0","3355.0",109,1,"2.783333",192
12156,"2.0","0.0","1.483333","2.85",NULL,NULL,NULL,7502,107,131,70,"1664.0","0.0",1141,0,"1.483333",280
12157,"0.5","0.0","0.916667","3.033333",NULL,NULL,NULL,7492,131,505,70,"6558.5","4892.0",5229,1,"0.916667",280
12158,"2.5","0.0","3.916667","3.416667",NULL,NULL,NULL,7503,132,131,67,"1592.0","0.0",1141,0,"3.916667",268
12159,"0.45","0.0","1.0","3.216667",NULL,NULL,NULL,7496,131,132,67,"6273.7","4683.3",5229,1,"1.0",268
12160,"2.166667","0.0","2.45","3.8",NULL,NULL,NULL,7502,505,131,70,"1663.0","0.0",1141,0,"2.45",280
12161,"0.583333","0.0","3.966667","32.366667","6.199992",NULL,"0.166667",7501,82,485,71,"1684.0","0.0",1141,0,"3.966667",284
12162,"1.333333","0.0","2.533333","4.133333",NULL,NULL,NULL,7504,82,241,70,"1661.0","0.0",1141,0,"2.533333",280
12163,"0.5","0.0","2.166667","3.25",NULL,NULL,NULL,7492,131,505,70,"6554.2","4893.0",5229,1,"2.166667",280
12164,"2.283333","1.0","0.416667","30.8","6.833328",NULL,NULL,7474,1465,82,53,"4963.3","3707.5",102,1,"0.416667",212
12165,"2.166667","0.0","3.0","2.833333",NULL,NULL,NULL,7502,505,131,70,"1661.0","0.0",1141,0,"3.0",280
12166,"0.583333","0.0","3.116667","30.816667","4.866672","2.416656",NULL,7498,131,109,64,"5993.4","4475.5",5229,1,"3.116667",256
12167,"0.5","0.0","2.083333","2.5",NULL,NULL,NULL,7492,131,505,70,"6549.4","4893.0",5229,1,"2.083333",280
12168,"3.616667","0.0","2.516667","4.116667",NULL,NULL,NULL,7503,82,131,70,"1662.0","0.0",1141,0,"2.516667",280
